HUC12,Name,Aquatic Species At Risk,Aquatic Animal Species At Risk,Aquatic Plant Species At Risk,Wetland Species At Risk,Wetland Animal Species At Risk,Wetland Plant Species At Risk,Terrestrial Species At Risk,Terrestrial Animal Species At Risk,Terrestrial Plant Species At Risk,Reptile Species At Risk,% Protected Rare Ecosystems,% Rare Ecosystem in WS,total_risk
140802040606,Middle Cottonwood Wash,0,0,0,0,0,0,0,0,0,17,,0,0
140802040607,Lower Cottonwood Wash,0,0,0,0,0,0,0,0,0,17,0,2.334473314,0
140802040701,Nazlini Canyon,0,0,0,0,0,0,0,0,0,16,,0,0
140802040702,Tah aith cheed Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802040703,Upper Bis Ii Ah Wash,0,0,0,0,0,0,0,0,0,18,0,0.01826576192,0
140802040704,Nazlini Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802040705,Lower Bis Ii Ah Wash,0,0,0,0,0,0,0,0,0,18,0,0.01587111179,0
140802040706,Tse Deeshzhaai Wash,0,0,0,0,0,0,0,0,0,18,0,0.004893371634,0
140802040707,Tiis Ndiitsooi Wash,0,0,0,0,0,0,0,0,0,17,0,0.008845716677,0
140802040708,Nazlini Wash (Local Drainage),0,0,0,0,0,0,0,0,0,18,0,0.9391406856,0
140802040801,Slim Canyon-Chinle Wash,1,0,1,0,0,0,1,0,1,19,0,0.843402447,2
140802040802,140802040802,0,0,0,0,0,0,0,0,0,18,,0,0
140802040803,Hipbone Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802040804,Upper Black Mountain Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802040805,Ventana Mesa,0,0,0,0,0,0,0,0,0,18,,0,0
140802040806,Tezinie Wash,0,0,0,0,0,0,0,0,0,19,,0,0
140802040807,Sheep Dip Creek,0,0,0,0,0,0,0,0,0,19,,0,0
140802040808,Lower Black Mountain Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802040809,Chinle Wash-Many Farms Lake,0,0,0,0,0,0,0,0,0,18,0,0.1375137949,0
140802040901,Yellowstone Canyon,0,0,0,0,0,0,0,0,0,19,,0,0
140802040902,Tsedatoh Canyon,0,0,0,1,1,0,2,1,1,19,,0,3
140802040903,Bihilinie Canyon,0,0,0,0,0,0,0,0,0,19,,0,0
140802040904,Upper Agua Sal Creek,0,0,0,1,1,0,1,1,0,19,,0,2
140802040905,Lower Agua Sal Creek,0,0,0,0,0,0,0,0,0,20,0,0.09080392814,0
140802041001,Tohotoso Creek,0,0,0,1,1,0,1,1,0,18,,0,2
140802041002,Greasewood Wash,0,0,0,1,1,0,3,1,2,18,0,0.01264320375,4
140802041003,Town of Lukachukai-Lukachukai Creek,0,0,0,1,1,0,1,1,0,18,,0,2
140802041004,Cool Water Spring-Lukachukai Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041005,Band Valley,0,0,0,0,0,0,1,0,1,19,,0,1
140802041006,Red Wash,0,0,0,0,0,0,1,0,1,19,0,0.2774210497,1
140802041007,Round Rock Lake-Lukachukai Creek,0,0,0,0,0,0,0,0,0,19,0,0.02016995774,0
140802041008,Tohatchi Spring,0,0,0,0,0,0,0,0,0,18,,0,0
140802041009,Upper Hasbidito Creek,2,0,2,1,0,1,2,0,2,19,,0,5
140802041010,White Area Canyon,0,0,0,0,0,0,0,0,0,18,,0,0
140802041011,Lower Hasbidito Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041012,Flowing Well-Lukachukai Creek,0,0,0,0,0,0,0,0,0,18,0,0.03375527341,0
140802041101,Upper Windy Valley,0,0,0,0,0,0,0,0,0,19,0,0.01330704287,0
140802041102,Red Water Wash,0,0,0,0,0,0,0,0,0,19,0,0.09427569789,0
140802041103,Lower Windy Valley,0,0,0,0,0,0,0,0,0,19,,0,0
140802041104,White Water Wash-Chinle Wash,0,0,0,0,0,0,0,0,0,19,0,0.5278527336,0
140802041105,Chinle Valley-Chinle Wash,1,0,1,0,0,0,1,0,1,19,0,0.05953437198,2
140802041201,Mesa Trail Wash,0,0,0,0,0,0,0,0,0,17,,0,0
140802041202,Long Flat Wash,0,0,0,0,0,0,0,0,0,17,,0,0
140802041203,Small White Mesa Flat,0,0,0,0,0,0,0,0,0,17,,0,0
140802041204,Upper Tyende Creek,0,0,0,1,1,0,1,1,0,17,0,0.003576711405,2
140802041205,140802041205,0,0,0,0,0,0,0,0,0,18,0,0.006463061726,0
140802041206,Upper Burro Wash,0,0,0,0,0,0,0,0,0,18,0,0.2002540637,0
140802041207,Sweetwater Mesa,0,0,0,0,0,0,0,0,0,18,,0,0
140802041208,Tall Mesa,0,0,0,0,0,0,0,0,0,18,,0,0
140802041209,Lower Burro Wash,0,0,0,0,0,0,0,0,0,18,0,0.009719165895,0
140802041210,Middle Tyende Creek,0,0,0,0,0,0,0,0,0,18,0,0.01962126465,0
140802041211,Lower Tyende Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041301,Dowozhiebito Canyon,2,0,2,2,1,1,4,1,3,17,,0,8
140802041302,Long Canyon,3,0,3,3,1,2,4,1,3,16,,0,10
140802041303,Long House Valley,1,0,1,1,1,0,2,1,1,17,,0,4
140802041304,Wildcat Canyon-Laguna Creek,2,0,2,2,1,1,3,1,2,17,,0,7
140802041305,Parrish Creek,0,0,0,1,1,0,1,1,0,17,0,0.02006593753,2
140802041306,Marsh Pass-Laguna Creek,1,0,1,0,0,0,1,0,1,17,,0,2
140802041307,Town of Kayenta-Laguna Creek,0,0,0,0,0,0,0,0,0,18,0,0.006887394054,0
140802041401,Upper Church Rock Valley,0,0,0,0,0,0,0,0,0,17,0,0.006753308543,0
140802041402,Lower Church Rock Valley,0,0,0,0,0,0,0,0,0,18,,0,0
140802041403,Porras Dikes-Laguna Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041404,Baby Rocks Mesa-Laguna Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041405,Greasewood Flat-Laguna Creek,0,0,0,0,0,0,1,0,1,18,,0,1
140802041406,Dennehotso Canyon-Laguna Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041501,Carson Mesa,0,0,0,0,0,0,0,0,0,18,,0,0
140802041502,Upper Trading Post Wash,0,0,0,0,0,0,0,0,0,19,,0,0
140802041503,Dancing Rocks,0,0,0,0,0,0,0,0,0,18,,0,0
140802041504,Lower Trading Post Wash,1,0,1,0,0,0,1,0,1,18,0,0.008290719849,2
140802041505,Setsiltso Springs-Chinle Wash,1,0,1,0,0,0,1,0,1,18,0,0.06859291354,2
140802041506,Sunnyside Spring-Chinle Wash,1,0,1,1,0,1,1,0,1,18,0,0.0391417043,3
140802041507,Wagon Canyon-Chinle Wash,1,0,1,0,0,0,1,0,1,18,0,0.027216883,2
140802041601,White Rock Wash,0,0,0,0,0,0,1,0,1,18,,0,1
140802041602,Toh Chin Lini Canyon,0,0,0,0,0,0,0,0,0,18,,0,0
140802041603,Alcove Canyon,0,0,0,0,0,0,1,0,1,18,,0,1
140802041604,Kit Sili Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802041605,Walker Butte-Walker Creek,0,0,0,0,0,0,0,0,0,17,,0,0
140802041606,Willow Spring Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802041607,Hogansaani Spring-Walker Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041608,Walker Creek-Walker Creek Reservoir,2,0,2,1,0,1,2,0,2,18,,0,5
140802041609,Mexican Water-Walker Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802041701,Nokaito Bench,0,0,0,0,0,0,0,0,0,18,,0,0
140802041702,Short Grass Canyon-Chinle Creek,0,0,0,0,0,0,0,0,0,18,0,0.04746282451,0
140802041703,Hosteen Tso Canyon,2,0,2,1,0,1,2,0,2,18,,0,5
140802041704,Garnet Ridge-Chinle Creek,0,0,0,0,0,0,0,0,0,18,0,0.03266464279,0
140802050101,Little Capitan Valley,0,0,0,0,0,0,1,0,1,18,100,0.00434161798,1
140802050102,West Gypsum Creek,0,0,0,0,0,0,1,0,1,18,,0,1
140802050103,Tse Biyi Yazzie-Gypsum Creek,0,0,0,0,0,0,0,0,0,18,,0,0
140802050104,Stagecoach Wash,0,0,0,0,0,0,0,0,0,19,,0,0
140802050105,Rooster Rock-Gypsum Creek,0,0,0,0,0,0,0,0,0,19,,0,0
140802050106,Cane Valley,1,0,1,1,0,1,2,0,2,18,,0,4
140802050107,Cane Valley Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802050108,Eagle Rock Wash-Gypsum Creek,0,0,0,0,0,0,0,0,0,19,,0,0
140802050301,Adahchijiyahi Canyon,2,0,2,1,0,1,2,0,2,18,,0,5
140802050302,Todicheenie Bench,0,0,0,0,0,0,0,0,0,18,,0,0
140802050303,Laughing Canyon-Oljeto Wash,2,0,2,1,0,1,2,0,2,18,,0,5
140802050304,El Capitan Wash,0,0,0,0,0,0,0,0,0,18,0,0.09100893631,0
140802050305,Oljeto Spring,0,0,0,0,0,0,1,0,1,18,0,0.005870448968,1
140802050306,Mitchell Butte Wash,0,0,0,0,0,0,2,0,2,18,0,0.007054899672,2
140802050307,Holiday Mesa-Oljeto Wash,0,0,0,0,0,0,0,0,0,19,0,0.003318718349,0
140802050501,Cattle Canyon,0,0,0,1,1,0,1,1,0,18,,0,2
140802050502,Upper Nokai Canyon,1,0,1,1,1,0,2,1,1,18,,0,4
140802050503,Middle Nokai Canyon,0,0,0,0,0,0,0,0,0,18,,0,0
140802050608,East Fork Copper Canyon,0,0,0,0,0,0,0,0,0,18,,0,0
140802050609,West Fork Copper Canyon,0,0,0,0,0,0,0,0,0,18,,0,0
140802050701,Upper Piute Creek,2,0,2,1,0,1,2,0,2,19,,0,5
140802050702,Fullers Spring,0,0,0,0,0,0,0,0,0,18,,0,0
140802050703,Middle Piute Creek,0,0,0,1,1,0,1,1,0,19,,0,2
140802050705,Jackrabbit Canyon,0,0,0,1,1,0,2,1,1,18,,0,3
140802050802,Neskahi Wash,1,1,0,0,0,0,0,0,0,19,,0,1
150100010101,Trail Canyon,0,0,0,0,0,0,1,0,1,25,,0,1
150100010102,Pasture Canyon,0,0,0,0,0,0,1,0,1,24,,0,1
150100010103,House Rock Canyon-House Rock Wash,0,0,0,0,0,0,2,0,2,25,,0,2
150100010104,Rock Canyon,0,0,0,0,0,0,2,0,2,24,,0,2
150100010105,Hancock Spring-House Rock Wash,0,0,0,0,0,0,2,0,2,25,,0,2
150100010106,Cane Canyon,0,0,0,1,1,0,4,1,3,24,,0,5
150100010107,Seegmiller Canyon-House Rock Wash,0,0,0,0,0,0,1,0,1,24,,0,1
150100010108,Emmett Wash-House Rock Wash,0,0,0,1,0,1,5,0,5,24,,0,6
150100010201,Tater Canyon,0,0,0,0,0,0,3,0,3,21,,0,3
150100010202,Upper North Canyon Wash,1,1,0,0,0,0,3,0,3,21,,0,4
150100010203,Pleasant Valley Outlet,0,0,0,1,1,0,4,1,3,24,,0,5
150100010204,Middle North Canyon Wash,0,0,0,0,0,0,1,0,1,24,,0,1
150100010205,Lower North Canyon Wash,0,0,0,1,0,1,6,0,6,24,,0,7
150100010301,Jackass Creek,0,0,0,1,0,1,3,0,3,24,,0,4
150100010302,Badger Creek,0,0,0,0,0,0,2,0,2,23,,0,2
150100010303,Cathedral Wash-Colorado River,1,1,0,3,2,1,5,1,4,24,,0,9
150100010304,Soap Creek,0,0,0,0,0,0,2,0,2,23,,0,2
150100010305,Tanner Wash,0,0,0,1,0,1,3,0,3,23,,0,4
150100010306,Hanaa Ninadzidzahi-Colorado River,0,0,0,1,0,1,5,0,5,23,,0,6
150100010401,Tiger Wash,0,0,0,0,0,0,3,0,3,23,,0,3
150100010402,Sheep Spring Wash-Colorado River,0,0,0,1,0,1,5,0,5,23,,0,6
150100010403,Hogansaani Wash,0,0,0,0,0,0,0,0,0,23,,0,0
150100010404,Shinumo Wash,0,0,0,0,0,0,5,0,5,23,,0,5
150100010405,Fence Canyon,1,1,0,0,0,0,2,0,2,21,,0,3
150100010406,South Canyon,0,0,0,2,1,1,4,0,4,23,,0,6
150100010407,To Hajisho-Colorado River,1,1,0,4,3,1,7,1,6,24,,0,12
150100010501,LeChe-e Wash,0,0,0,0,0,0,0,0,0,24,,0,0
150100010502,Tatahatso Wash,0,0,0,2,0,2,2,0,2,25,,0,4
150100010503,Tatahoysa Wash,0,0,0,1,0,1,1,0,1,25,,0,2
150100010504,Buck Farm Canyon-Colorado River,0,0,0,3,1,2,4,1,3,24,,0,7
150100010505,Nankoweap Creek,0,0,0,2,1,1,2,1,1,25,,0,4
150100010506,Saddle Canyon-Colorado River,0,0,0,3,1,2,3,1,2,25,,0,6
150100010507,Kwagunt Creek,0,0,0,1,1,0,1,1,0,25,,0,2
150100010508,Sixtymile Creek-Colorado River,1,1,0,2,1,1,2,1,1,25,,0,5
150100010601,Lava Creek,0,0,0,1,1,0,2,1,1,25,,0,3
150100010602,Unkar Creek,0,0,0,2,2,0,3,2,1,25,,0,5
150100010603,Tanner Canyon-Colorado River,1,1,0,1,1,0,1,1,0,25,,0,3
150100010604,Hance Creek-Colorado River,0,0,0,2,2,0,5,2,3,25,,0,7
150100010605,Clear Creek,0,0,0,1,1,0,1,1,0,25,,0,2
150100010606,The Transept,0,0,0,1,1,0,3,1,2,23,,0,4
150100010607,Phantom Creek,0,0,0,0,0,0,1,0,1,27,,0,1
150100010608,Bright Angel Creek,0,0,0,1,1,0,2,1,1,27,,0,3
150100010609,Grapevine Creek-Colorado River,0,0,0,1,1,0,4,2,2,27,,0,5
150100020101,Hermit Creek,0,0,0,0,0,0,3,0,3,27,,0,3
150100020102,Trinity Creek-Colorado River,0,0,0,1,1,0,5,1,4,27,,0,6
150100020103,Crystal Creek,0,0,0,0,0,0,1,0,1,27,,0,1
150100020104,Tuna Creek,0,0,0,0,0,0,1,0,1,27,,0,1
150100020105,Slate Creek-Colorado River,0,0,0,1,1,0,2,1,1,27,,0,3
150100020106,Flint Creek,0,0,0,0,0,0,1,0,1,27,,0,1
150100020107,White Creek,0,0,0,0,0,0,0,0,0,28,,0,0
150100020108,Shinumo Creek (Local Drainage),1,1,0,0,0,0,1,0,1,28,,0,2
150100020109,Turquoise Canyon-Colorado River,1,1,0,1,1,0,1,1,0,28,,0,3
150100020201,Royal Arch Creek-Colorado River,1,1,0,1,1,0,0,0,0,29,,0,2
150100020202,Fossil Canyon,1,1,0,0,0,0,0,0,0,30,,0,1
150100020203,Saddle Canyon,0,0,0,0,0,0,1,0,1,30,,0,1
150100020204,Tapeats Creek,1,1,0,0,0,0,0,0,0,30,,0,1
150100020205,Bedrock Canyon-Colorado River,1,1,0,2,1,1,2,1,1,30,,0,5
150100020206,Deer Creek,1,1,0,0,0,0,0,0,0,30,,0,1
150100020207,Hundred and Forty Mile Canyon-Colorado River,1,1,0,0,0,0,1,0,1,30,,0,2
150100020301,Albers Wash Headwaters,0,0,0,0,0,0,0,0,0,24,,0,0
150100020302,Upper Albers Wash,0,0,0,0,0,0,0,0,0,25,,0,0
150100020303,Middle Albers Wash,0,0,0,0,0,0,0,0,0,31,,0,0
150100020304,Lower Albers Wash,2,1,1,1,0,1,1,0,1,31,,0,4
150100020401,Matkatamiba Canyon,1,0,1,1,0,1,2,0,2,30,,0,4
150100020402,Hundred and Fifty Mile Canyon,1,0,1,2,1,1,2,1,1,30,,0,5
150100020403,Olo Canyon-Colorado River,2,1,1,2,1,1,4,1,3,31,,0,8
150100020404,Tuckup Canyon,2,1,1,2,1,1,2,1,1,31,,0,6
150100020405,Pocket Point-Colorado River,2,1,1,1,0,1,2,0,2,31,,0,5
150100020501,Oak Tank,0,0,0,0,0,0,0,0,0,25,,0,0
150100020502,Upper Prospect Valley,0,0,0,0,0,0,0,0,0,24,,0,0
150100020503,Lower Prospect Valley,1,1,0,0,0,0,0,0,0,31,,0,1
150100020601,Fern Glen Canyon,2,1,1,2,1,1,2,1,1,31,,0,6
150100020602,Upper Mohawk Canyon,0,0,0,0,0,0,0,0,0,24,,0,0
150100020603,Lower Mohawk Canyon,1,1,0,0,0,0,0,0,0,31,,0,1
150100020604,Witch Pool,0,0,0,0,0,0,0,0,0,27,,0,0
150100020605,Upper Toroweap Valley,0,0,0,0,0,0,0,0,0,28,,0,0
150100020606,Middle Toroweap Valley,0,0,0,0,0,0,0,0,0,29,,0,0
150100020607,Lower Toroweap Valley,1,1,0,0,0,0,1,0,1,31,,0,2
150100020608,Cove Canyon-Colorado River,2,1,1,2,1,1,3,1,2,31,,0,7
150100020701,Snap Draw,0,0,0,0,0,0,0,0,0,26,,0,0
150100020702,East Fork Parashant Wash,0,0,0,0,0,0,1,0,1,26,,0,1
150100020703,West Fork Parashant Wash,0,0,0,0,0,0,0,0,0,26,,0,0
150100020704,Esplin Tank-Parashant Wash,0,0,0,0,0,0,3,0,3,28,,0,3
150100020705,Agway Wash,0,0,0,0,0,0,0,0,0,29,,0,0
150100020706,Ivanpatch Wash-Parashant Wash,0,0,0,0,0,0,2,0,2,30,,0,2
150100020707,Pymn Canyon-Parashant Wash,0,0,0,0,0,0,2,0,2,32,,0,2
150100020708,Andrus Canyon,0,0,0,0,0,0,1,0,1,32,,0,1
150100020709,Trail Canyon-Parashant Wash,0,0,0,0,0,0,1,0,1,32,,0,1
150100020710,End Spring-Parashant Wash,1,1,0,0,0,0,1,0,1,32,,0,2
150100020801,Road Canyon,0,0,0,0,0,0,1,0,1,29,,0,1
150100020802,Cold Spring Wash,0,0,0,0,0,0,2,0,2,32,,0,2
150100020803,Upper Whitmore Wash,0,0,0,0,0,0,2,0,2,32,,0,2
150100020804,Middle Whitmore Wash,0,0,0,0,0,0,1,0,1,32,,0,1
150100020805,Lower Whitmore Wash,0,0,0,0,0,0,1,0,1,32,,0,1
150100020806,Hells Hollow-Colorado River,1,1,0,0,0,0,0,0,0,31,,0,1
150100020807,Hundred and Ninetythree Mile Creek,1,1,0,0,0,0,0,0,0,31,,0,1
150100020808,Hundred and Ninetysix Mile Creek-Colorado River,1,1,0,0,0,0,0,0,0,32,,0,1
150100020901,Upper Diamond Creek,0,0,0,0,0,0,0,0,0,31,,0,0
150100020902,Blue Mountain Canyon,0,0,0,0,0,0,0,0,0,30,,0,0
150100020903,Box Canyon,0,0,0,0,0,0,0,0,0,32,,0,0
150100020904,Mulberry Spring,0,0,0,0,0,0,0,0,0,32,,0,0
150100020905,Hells Canyon,0,0,0,0,0,0,0,0,0,32,,0,0
150100020906,Lost Man Creek,0,0,0,0,0,0,0,0,0,32,,0,0
150100020907,Upper Peach Springs Wash,0,0,0,0,0,0,0,0,0,32,,0,0
150100020908,Lower Peach Springs Wash,0,0,0,0,0,0,0,0,0,32,,0,0
150100020909,Lower Diamond Creek,0,0,0,0,0,0,0,0,0,32,,0,0
