HUC12,Name-12,HUC8,Name,ForestChange,WetlandsChange,HabitatConditionIndex,At-RiskAquaticSpecies,At-RiskAquaticAnimalSpecies,At-RiskAquatiPlantSpecies,At-RiskWetlandSpecies,At-RiskWetlandAnimalSpecies,At-RiskWetlandPlantSpecies,At-RiskTerrestrialSpecies,At-RiskTerrestrialAnimalSpecies,At-RiskTerrestrialPlantSpecies,total,ProtectedRareEcosystems,RareEcosysteminWS,Urban2011,UrbanChange,DevelopedHI,DevelopedMI,DevelopedLI,DevelopedOpenSpace
100200011202,Medicine Lodge Creek-Dad Creek,10020001,Red Rock,-0.04,0.5,4.9,1,0,1,1,0,1,2,1,1,4,,0,0,0,0,0,0,0
100200010104,Upper Red Rock Lake,10020001,Red Rock,0.08,0.61,4.81,1,1,0,1,1,0,3,3,0,5,,0,0.5761342162,0,0,0,0.00153635791,0.5745978583
100200010105,Odell Creek,10020001,Red Rock,-0.66,0.71,4.94,1,1,0,1,1,0,3,3,0,5,,0,0.2910911083,0,0,0,0.009667232379,0.2814238759
100200010801,Deadman Creek,10020001,Red Rock,-0.01,0.07,4.91,1,0,1,1,0,1,3,2,1,5,,0,0,0,0,0,0,0
100200010210,Lower Lima Reservoir,10020001,Red Rock,0.02,0.54,4.75,1,0,1,2,1,1,3,2,1,6,,0,1.406960831,0,0,0.001479454081,0.02958908163,1.375892296
100200010302,Monida,10020001,Red Rock,0.03,2,4.53,1,0,1,2,1,1,3,2,1,6,,0,4.475956256,0,0,0.1360473026,0.7513997174,3.588509236
100200011003,Middle Bloody Dick Creek,10020001,Red Rock,-0.07,0.02,4.89,0,0,0,2,2,0,4,4,0,6,,0,0.03870539664,0,0,0,0,0.03870539664
100200011103,Horse Prairie Creek-Jeff Davis Creek,10020001,Red Rock,0.05,0.71,4.59,0,0,0,2,2,0,4,4,0,6,,0,0.815926893,0,0,0.114696009,0.1529280119,0.5483028721
100200011104,Black Canyon Creek,10020001,Red Rock,0.05,0.71,4.92,0,0,0,2,2,0,4,4,0,6,,0,0.2732177706,0,0,0.00918379061,0.05739869131,0.2066352887
100200011105,Bear Creek,10020001,Red Rock,-0.1,0,4.94,0,0,0,2,2,0,4,4,0,6,,0,0,0,0,0,0,0
100200011106,Trail Creek,10020001,Red Rock,-0.5,0.45,4.74,0,0,0,2,2,0,4,4,0,6,,0,0.430700515,0,0,0.02050954833,0.05013445148,0.3600565152
100200010209,Upper Lima Reservoir,10020001,Red Rock,-0.04,1.27,4.77,1,0,1,2,1,1,4,3,1,7,,0,0.7572104345,0,0,0,0.02181500873,0.7353954257
100200010502,Lower Nicholia Creek,10020001,Red Rock,-0.68,6.91,4.69,1,0,1,2,1,1,4,3,1,7,,0,0,0,0,0,0,0
100200010601,Tex Creek,10020001,Red Rock,-0.29,0.96,4.72,2,0,2,2,1,1,3,2,1,7,,0,0,0,0,0,0,0
100200010202,Upper Red Rock River,10020001,Red Rock,-1.44,3.42,4.85,2,1,1,2,1,1,4,3,1,8,,0,0.2898573743,0,0,0,0.007147168133,0.2827102062
100200010602,Cabin Creek,10020001,Red Rock,-0.23,0.92,4.76,2,0,2,2,1,1,4,3,1,8,,0,0,0,0,0,0,0
100200040303,Berry Creek,10020004,Big Hole,-0.17,0.31,4.8,0,0,0,1,1,0,3,3,0,4,0,0.002320955479,0,0,0,0,0,0
100200040304,Englejard Creek,10020004,Big Hole,-0.46,0,4.77,0,0,0,1,1,0,3,3,0,4,,0,0.1491954105,0,0,0.001184090559,0,0.1480113199
100200040501,Upper Trail Creek,10020004,Big Hole,-8.6,0,4.76,0,0,0,1,1,0,3,3,0,4,,0,0.3509680646,0,0,0.01786097021,0.1125241123,0.2205829821
100200040502,May Creek,10020004,Big Hole,-20.77,0,5,0,0,0,1,1,0,3,3,0,4,,0,0.01952108277,0,0,0.002169009197,0.01301405518,0.004338018393
100200040504,West Fork Ruby Creek,10020004,Big Hole,-0.38,0,4.89,0,0,0,1,1,0,3,3,0,4,,0,0,0,0,0,0,0
100200040505,Ruby Creek,10020004,Big Hole,-0.71,-0.19,4.8,0,0,0,1,1,0,3,3,0,4,0,0.001801782014,0.1234200877,0,0,0,0.02612542003,0.09729466771
100200040301,Headwaters Big Hole River,10020004,Big Hole,-0.13,0.32,4.85,1,1,0,1,1,0,3,3,0,5,0,0.005053718902,0,0,0,0,0,0
100200040405,Upper Rock Creek,10020004,Big Hole,-0.82,-0.04,4.77,1,1,0,1,1,0,3,3,0,5,0,0.0007543892605,0.4787101922,0,0,0.003763444907,0.04365596092,0.4312907863
100200040306,Miner Creek,10020004,Big Hole,-0.64,0,4.63,1,1,0,2,2,0,4,4,0,7,0,0.004654540686,0.2413171993,0,0,0,0.008082394236,0.2332348051
100200040307,Little Lake Creek,10020004,Big Hole,-0.32,0,4.82,1,1,0,2,2,0,4,4,0,7,0,0.008531737366,0.3150097908,0,0,0,0.01135170417,0.3036580867
100200040308,Big  Swamp Creek,10020004,Big Hole,-0.33,0,4.87,1,1,0,2,2,0,4,4,0,7,0,0.005605745895,0.05998883929,0,0,0,0,0.05998883929
100200040404,Big Lake Creek,10020004,Big Hole,-1.41,-0.01,4.71,1,1,0,2,2,0,4,4,0,7,0,0.004397599855,0.4552795621,0,0,0.002192357442,0.04750107791,0.4055861268
100200040408,Swamp Creek,10020004,Big Hole,-0.32,-0.16,4.75,1,1,0,2,2,0,4,4,0,7,,0,0.6998501748,0,0,0.03795571833,0.1225237223,0.5393707341
100200070501,Antelope Creek,10020007,Madison,-0.34,0.1,4.91,0,0,0,1,1,0,2,2,0,3,,0,1.153696649,0,0,0,0,1.153696649
100200070203,Upper South Fork Madison River,10020007,Madison,0.11,0,4.89,0,0,0,1,1,0,3,3,0,4,100,0.008425609168,0,0,0,0,0,0
100200070204,Middle South Fork Madison River,10020007,Madison,0.05,0,4.86,0,0,0,1,1,0,3,3,0,4,0,0.01256384148,0.2638375096,0,0,0,0.01535562225,0.2484818873
100200070205,Lower South Fork Madison River,10020007,Madison,0.06,0.14,4.75,0,0,0,1,1,0,3,3,0,4,72.72727273,0.005839340941,1.287743993,0.03,0,0.02323113394,0.2296714378,1.034841421
100200070307,Hebgen Lake,10020007,Madison,-0.17,0,4.9,0,0,0,1,1,0,3,3,0,4,,0,0.4230728974,0,0,0.004957885517,0.06114725471,0.3569677572
100200070502,Lake Creek,10020007,Madison,-0.08,0.02,4.9,0,0,0,2,2,0,4,4,0,6,,0,0.3235783964,0,0,0.003398932735,0.09924883587,0.2209306278
100200070701,Madison River-Missouri Flats,10020007,Madison,-0.02,0,4.79,0,0,0,2,2,0,4,4,0,6,,0,0.606319105,0,0,0.01115522163,0.2034187473,0.391745136
140100010101,Headwaters Willow Creek,14010001,Colorado Headwaters,-12.64,0,4.71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010102,Upper Willow Creek,14010001,Colorado Headwaters,-46.56,0,4.69,0,0,0,0,0,0,0,0,0,0,,0,0.7759587878,0,0,0.01409766155,0.1662349258,0.5956262005
140100010103,Middle Willow Creek,14010001,Colorado Headwaters,-26.24,0.02,4.61,0,0,0,0,0,0,0,0,0,0,,0,0.5514825853,0,0.001087736855,0.01957926338,0.2131964235,0.3176191616
140100010104,Lower Willow Creek,14010001,Colorado Headwaters,-5.03,0.01,4.45,0,0,0,0,0,0,0,0,0,0,,0,0.2278746074,0,0,0.002463509269,0.0677465049,0.1576645932
140100010203,Saint Louis Creek,14010001,Colorado Headwaters,-4.22,0.18,4.68,0,0,0,0,0,0,0,0,0,0,,0,0.4805639586,0,0.00181687697,0.01635189273,0.09175228699,0.3706429019
140100010205,Meadows Creek-Ranch Creek,14010001,Colorado Headwaters,-12.25,0.1,4.55,0,0,0,0,0,0,0,0,0,0,,0,0.3697669055,0,0,0.002975991191,0.1182956498,0.2484952645
140100010206,Middle Fraser River,14010001,Colorado Headwaters,-12.07,0.08,4.42,0,0,0,0,0,0,0,0,0,0,,0,8.126899696,0.54,0.08928571429,0.9840425532,3.522036474,3.531534954
140100010207,Crooked Creek,14010001,Colorado Headwaters,-9.41,0.65,4.47,0,0,0,0,0,0,0,0,0,0,,0,2.306881874,0,0.003371402082,0.08175650048,0.7948080408,1.426945931
140100010208,Strawberry Creek,14010001,Colorado Headwaters,-39.35,0.13,4.89,0,0,0,0,0,0,0,0,0,0,,0,0.004113702744,0,0,0,0,0.004113702744
140100010209,Tenmile Creek,14010001,Colorado Headwaters,-5.87,0.36,4.41,0,0,0,0,0,0,0,0,0,0,,0,2.688509244,0.86,0.01778609876,0.1656915516,0.7666744676,1.738357126
140100010210,Lower Fraser River,14010001,Colorado Headwaters,-4.36,0.26,4.67,0,0,0,0,0,0,0,0,0,0,,0,5.577093934,1.03,0.1224995288,0.6973050104,1.798454621,2.958834774
140100010301,Baker Gulch,14010001,Colorado Headwaters,-1.69,0.06,4.86,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010303,Onahu Creek-Colorado River,14010001,Colorado Headwaters,-17.14,0.55,4.66,0,0,0,0,0,0,0,0,0,0,,0,1.365402506,0,0,0.01003301775,0.09850599245,1.256863496
140100010306,Stillwater Creek,14010001,Colorado Headwaters,-25.64,0.25,4.46,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010307,Arapaho Creek,14010001,Colorado Headwaters,-1.42,0,4.92,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010308,Lake Granby,14010001,Colorado Headwaters,-17.49,0.26,4.81,0,0,0,0,0,0,0,0,0,0,,0,2.277800601,0,0.02177818914,0.2316407391,0.8340056524,1.19037602
140100010309,Smith Creek-Colorado River,14010001,Colorado Headwaters,-7.31,0.52,4.45,0,0,0,0,0,0,0,0,0,0,,0,1.895148359,0,0,0.01068979735,0.3374921735,1.546966388
140100010401,South Fork Williams Fork,14010001,Colorado Headwaters,-2.68,0,4.94,0,0,0,0,0,0,0,0,0,0,,0,0.007512113283,0,0,0,0,0.007512113283
140100010403,Keyser Creek,14010001,Colorado Headwaters,-12.14,0,4.67,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010404,Upper Williams Fork,14010001,Colorado Headwaters,-11.44,0.11,4.75,0,0,0,0,0,0,0,0,0,0,,0,0.8695352425,0,0.006032454606,0.03102405226,0.08531614371,0.7471625919
140100010405,Middle Williams Fork,14010001,Colorado Headwaters,-14.47,0.21,4.75,0,0,0,0,0,0,0,0,0,0,,0,0.256441568,0,0,0,0.006784168464,0.2496573995
140100010501,Drowsy Water Creek-Colorado River,14010001,Colorado Headwaters,-9.39,-0.02,4.64,0,0,0,0,0,0,0,0,0,0,,0,1.579757171,0,0.0007616958396,0.01523391679,0.3968435324,1.166918026
140100010502,Beaver Creek,14010001,Colorado Headwaters,-5.79,0,4.58,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010503,Little Muddy Creek,14010001,Colorado Headwaters,-10.12,0.01,4.78,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010504,Ute Bill Creek-Colorado River,14010001,Colorado Headwaters,-0.81,0.07,4.57,0,0,0,0,0,0,0,0,0,0,,0,3.070955661,0,0.01203771818,0.1832408212,0.7557011971,2.119975925
140100010602,Middle Fork Creek,14010001,Colorado Headwaters,-17.32,0,4.95,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010603,East Fork Troublesome Creek,14010001,Colorado Headwaters,-16.21,0,4.93,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010604,Rabbit Ears Creek-Troublesome Creek,14010001,Colorado Headwaters,-15.92,0.01,4.73,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010701,Little Muddy Creek,14010001,Colorado Headwaters,-0.92,-0.14,4.69,0,0,0,0,0,0,0,0,0,0,,0,1.461528791,0,0,0.01152459978,0.2022043416,1.247799849
140100010703,Upper Muddy Creek,14010001,Colorado Headwaters,0.08,0.04,4.68,0,0,0,0,0,0,0,0,0,0,,0,0.9807050438,0,0,0.009308386857,0.2626294863,0.7087671706
140100010704,Middle Muddy Creek,14010001,Colorado Headwaters,0,0,4.65,0,0,0,0,0,0,0,0,0,0,,0,1.317553976,0,0,0.01676277323,0.398954003,0.9018371999
140100010705,Antelope Creek,14010001,Colorado Headwaters,-0.32,0.1,4.58,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010801,Upper Piney River,14010001,Colorado Headwaters,-1.13,0,4.93,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010802,Middle Piney River,14010001,Colorado Headwaters,-0.08,0.01,4.78,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010803,Lower Piney River,14010001,Colorado Headwaters,-0.02,0,4.74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010901,Sheep Creek-Colorado River,14010001,Colorado Headwaters,-8.58,0.78,4.6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010902,Blacktail Creek,14010001,Colorado Headwaters,-18.37,0,4.86,0,0,0,0,0,0,0,0,0,0,,0,0.2758552745,0,0,0.003694490283,0.04802837369,0.2241324105
140100010903,Three Licks Creek-Sheephorn Creek,14010001,Colorado Headwaters,-0.33,0.03,4.84,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010904,Cottonwood Creek-Sheephorn Creek,14010001,Colorado Headwaters,-0.89,0.05,4.64,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010905,Gore Canyon,14010001,Colorado Headwaters,-1.9,0.04,4.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100010906,Sheep Creek-Colorado River,14010001,Colorado Headwaters,-0.22,0,4.81,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011001,Headwaters Rock Creek,14010001,Colorado Headwaters,-12.37,0,4.79,0,0,0,0,0,0,0,0,0,0,,0,0.5544626775,0,0,0.001660067897,0.02324095055,0.5295616591
140100011002,King Creek,14010001,Colorado Headwaters,-0.15,-0.01,4.49,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011003,Headwaters Egeria Creek,14010001,Colorado Headwaters,-0.53,0.51,4.52,0,0,0,0,0,0,0,0,0,0,,0,0.1249448082,0,0,0,0.01315208508,0.1117927231
140100011004,Toponas Creek,14010001,Colorado Headwaters,-2.41,0.08,4.61,0,0,0,0,0,0,0,0,0,0,,0,1.01190689,0,0,0.001191880907,0.1561363989,0.8545786105
140100011005,Red Dirt Creek-Egeria Creek,14010001,Colorado Headwaters,-0.89,0,4.72,0,0,0,0,0,0,0,0,0,0,,0,0.8950225199,0,0,0,0.163991223,0.7310312969
140100011006,Outlet Rock Creek,14010001,Colorado Headwaters,-6.3,0.08,4.85,0,0,0,0,0,0,0,0,0,0,,0,0.1166280625,0,0.0008155808567,0.004077904283,0.06606204939,0.04567252797
140100011201,Headwaters Derby Creek,14010001,Colorado Headwaters,0.06,0.14,4.94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011202,South Fork Derby Creek,14010001,Colorado Headwaters,0.07,0,4.98,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011203,Deer Creek-Derby Creek,14010001,Colorado Headwaters,-0.67,0.1,4.76,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011301,Upper Sweetwater Creek,14010001,Colorado Headwaters,-0.04,0.32,4.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011302,Middle Sweetwater Creek,14010001,Colorado Headwaters,0.03,0.07,4.71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011303,Lower Sweetwater Creek,14010001,Colorado Headwaters,0.03,0.1,4.61,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011401,Headwaters Deep Creek,14010001,Colorado Headwaters,0,0.45,4.71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011402,Outlet Deep Creek,14010001,Colorado Headwaters,0.1,0,4.78,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011502,Big Alkali Creek,14010001,Colorado Headwaters,0.01,0.03,4.74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011503,Elk Creek-Colorado River,14010001,Colorado Headwaters,-0.01,-0.01,4.75,0,0,0,0,0,0,0,0,0,0,,0,0.3844537169,0,0,0.001025209912,0.0789411632,0.3044873438
140100011504,Red Dirt Creek,14010001,Colorado Headwaters,-0.03,0,4.86,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011505,Posey Creek-Colorado River,14010001,Colorado Headwaters,0.02,0.02,4.7,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011506,Trail Gulch,14010001,Colorado Headwaters,0.05,0,4.6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011507,Willow Creek-Colorado River,14010001,Colorado Headwaters,0,0.03,4.64,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011508,140100011508,14010001,Colorado Headwaters,0.22,0.07,4.58,0,0,0,0,0,0,0,0,0,0,,0,0.6689385334,0,0.009916878527,0.111790267,0.330863129,0.2163682588
140100011601,Cottonwood Creek,14010001,Colorado Headwaters,0.47,0.08,4.69,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100011602,Grizzly Creek,14010001,Colorado Headwaters,0.07,0.66,4.91,0,0,0,0,0,0,0,0,0,0,,0,0.008969092507,0,0.0008969092507,0.003587637003,0.004484546254,0
140100011603,No Name Creek,14010001,Colorado Headwaters,0.03,0.06,4.92,0,0,0,0,0,0,0,0,0,0,,0,0.1080442306,0,0.001688191103,0.01181733772,0.06077487972,0.03376382206
140100011604,Glenwood Canyon,14010001,Colorado Headwaters,0.49,0.18,4.74,0,0,0,0,0,0,0,0,0,0,,0,1.986842709,0,0.08509944405,0.2175895965,0.6349335766,1.049220092
140100010201,Vasquez Creek,14010001,Colorado Headwaters,-3.21,0,4.84,0,0,0,0,0,0,1,0,1,1,,0,1.0955395,0,0.03108795404,0.2014499422,0.4178221023,0.4451795018
140100010302,Headwaters Colorado River,14010001,Colorado Headwaters,-1.74,0.03,4.6,0,0,0,0,0,0,1,1,0,1,,0,2.12591395,0,0.04745702726,0.07721821385,0.06676158072,1.934477128
140100010402,Headwaters Williams Fork,14010001,Colorado Headwaters,-5.58,0,4.89,0,0,0,0,0,0,1,0,1,1,,0,0.03061368667,0,0,0.0031398653,0.0007849663249,0.02668885505
140100010406,Battle Creek,14010001,Colorado Headwaters,-7.48,0.11,4.48,0,0,0,0,0,0,1,0,1,1,,0,0.3153147332,0,0,0.001292273497,0.005169093987,0.3088533657
140100010407,Williams Fork Reservoir-Lower Williams Fork,14010001,Colorado Headwaters,-6.23,0.15,4.55,0,0,0,0,0,0,1,0,1,1,,0,0.1219769034,0,0,0.0008775316789,0.002632595037,0.1184667767
140100010601,Corral Creek-Colorado River,14010001,Colorado Headwaters,-3.3,0.1,4.6,0,0,0,0,0,0,1,0,1,1,,0,0.5138257745,0,0,0.009900303939,0.1871157445,0.3168097261
140100010702,Milk Creek-Muddy Creek,14010001,Colorado Headwaters,-6.05,-0.08,4.83,0,0,0,0,0,0,1,1,0,1,,0,0.1615670337,0,0,0.0008328197611,0.004996918567,0.1557372953
140100010706,Red Dirt Creek,14010001,Colorado Headwaters,-3.07,0.04,4.75,0,0,0,0,0,0,1,0,1,1,,0,0,0,0,0,0,0
140100010707,Pass Creek,14010001,Colorado Headwaters,-2.55,0,4.43,0,0,0,0,0,0,1,0,1,1,,0,1.544304854,0,0,0.01808645325,0.2490365485,1.277181852
140100010708,Wolford Mountain Reservoir,14010001,Colorado Headwaters,0,0.06,4.5,0,0,0,0,0,0,1,0,1,1,,0,1.202096057,0,0,0.01199328376,0.357030832,0.8330719413
140100010709,Lower Muddy Creek,14010001,Colorado Headwaters,-0.09,0.29,4.4,0,0,0,0,0,0,1,0,1,1,,0,3.912503746,0.07,0.1284191601,0.6920365852,1.668022202,1.424025798
140100010202,Upper Fraser River,14010001,Colorado Headwaters,-1.97,0,4.41,0,0,0,0,0,0,2,0,2,2,,0,3.716743119,0.08,0.1330275229,0.7362385321,0.7224770642,2.125
140100010204,Headwaters Ranch Creek,14010001,Colorado Headwaters,-1.75,0,4.66,0,0,0,0,0,0,2,0,2,2,,0,0.06790639365,0,0,0,0,0.06790639365
140100010304,East Inlet,14010001,Colorado Headwaters,-3.69,0,5,1,0,1,0,0,0,1,0,1,2,,0,0.001233517127,0,0,0,0,0.001233517127
140100010605,Waste Creek-Troublesome Creek,14010001,Colorado Headwaters,-0.37,0.19,4.21,0,0,0,0,0,0,2,0,2,2,,0,0.1065602356,0,0,0,0.0203433177,0.08621691789
140100010606,Reeder Creek-Colorado River,14010001,Colorado Headwaters,0,1.11,4.37,0,0,0,0,0,0,2,0,2,2,,0,1.904761905,0,0.004433115372,0.09531198049,0.6472348443,1.157781965
140100011101,Sunnyside Creek,14010001,Colorado Headwaters,-0.09,0.02,4.76,0,0,0,1,1,0,1,1,0,2,,0,0,0,0,0,0,0
140100011102,Cabin Creek,14010001,Colorado Headwaters,-0.31,0.49,4.63,0,0,0,1,1,0,1,1,0,2,,0,0,0,0,0,0,0
140100011501,Yarmony Creek-Colorado River,14010001,Colorado Headwaters,-0.32,0.01,4.6,0,0,0,1,1,0,1,1,0,2,,0,0.9012742933,0,0.0007535738239,0.07083593944,0.492083707,0.3376010731
140100010305,North Inlet,14010001,Colorado Headwaters,-7.68,0.02,4.99,2,1,1,0,0,0,1,0,1,3,,0,0.1272717631,0,0,0.008333270202,0.02651495064,0.09242354225
140100020103,Swan River,14010002,Blue,-0.68,0.06,4.41,0,0,0,0,0,0,0,0,0,0,,0,2.659486024,0,0.00184750679,0.1320967355,0.4905130526,2.035028729
140100020104,Gold Hill-Blue River,14010002,Blue,-7.19,0,4.41,0,0,0,0,0,0,0,0,0,0,,0,9.052146847,0,0.217456189,2.178825737,3.530465186,3.125399736
140100020203,Keystone Gulch-Snake River,14010002,Blue,-2.01,-0.02,4.46,0,0,0,0,0,0,0,0,0,0,,0,5.878178388,0.52,0.2457895557,1.315493397,2.06497845,2.251916985
140100020301,Upper Tenmile Creek,14010002,Blue,-0.19,0.07,4.5,0,0,0,0,0,0,0,0,0,0,,0,2.151475096,0,0,0.03656101471,0.1167140085,1.998200073
140100020302,West Tenmile Creek,14010002,Blue,-0.04,0.09,4.66,0,0,0,0,0,0,0,0,0,0,,0,2.972116603,0.01,0.0278833967,0.3384030418,0.6489226869,1.956907478
140100020303,Middle Tenmile Creek,14010002,Blue,-0.04,0.11,4.63,0,0,0,0,0,0,0,0,0,0,,0,2.488634666,0,0.02561202057,0.2433141955,0.3478966128,1.871811837
140100020304,Lower Tenmile Creek,14010002,Blue,-0.05,0,4.73,0,0,0,0,0,0,0,0,0,0,,0,4.002952532,0,0.1391096979,1.051839655,1.689189189,1.12281399
140100020401,Dillon Reservoir,14010002,Blue,-3.48,0.02,4.41,0,0,0,0,0,0,0,0,0,0,,0,8.098845129,0.07,0.3626866578,1.560940903,2.682840062,3.492377506
140100020501,Straight Creek-Blue River,14010002,Blue,-6.75,-0.05,4.52,0,0,0,0,0,0,0,0,0,0,,0,8.304152076,0.5,0.3101550775,1.333166583,2.86018009,3.800650325
140100020502,Rock Creek-Blue River,14010002,Blue,-3.53,0.02,4.83,0,0,0,0,0,0,0,0,0,0,,0,0.5172707668,0.05,0.002223226791,0.05558066978,0.1674830849,0.2919837853
140100020503,Slate Creek-Blue River,14010002,Blue,-2.81,0.05,4.74,0,0,0,0,0,0,0,0,0,0,,0,0.4582502137,0,0.0005699629524,0.009689370191,0.1293815902,0.3186092904
140100020601,Elliott Creek,14010002,Blue,0.3,0.02,4.95,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
140100020602,Deep Creek-Blue River,14010002,Blue,-3.67,0.08,4.61,0,0,0,0,0,0,0,0,0,0,,0,0.363337001,0,0,0.009499006562,0.09340689786,0.2604310966
140100020603,Beaver Creek-Blue River,14010002,Blue,-2.53,0.18,4.56,0,0,0,0,0,0,0,0,0,0,,0,0.581013027,0,0.0008323968868,0.01997752528,0.191451284,0.3687518209
140100020102,French Gulch-Blue River,14010002,Blue,-0.49,0.22,4.14,0,0,0,0,0,0,1,0,1,1,,0,8.112368478,0.37,0.3806277153,2.365787079,2.815619834,2.55033385
140100020201,North Fork Snake River,14010002,Blue,-2.8,0,4.46,0,0,0,0,0,0,2,0,2,2,,0,3.655278761,0,0.1824381556,0.3518450144,0.4408922095,2.680103382
140100020202,Peru Creek-Snake River,14010002,Blue,-0.04,0,4.7,0,0,0,0,0,0,2,0,2,2,,0,0.1383333333,0.09,0.0008333333333,0.015,0.04166666667,0.08083333333
140100020504,Green Mountain Reservoir,14010002,Blue,-0.86,0.03,4.81,0,0,0,2,2,0,2,2,0,4,,0,0.5205013809,0,0.02001928388,0.06128352209,0.1344151918,0.3047833832
140100020101,Headwaters Blue River,14010002,Blue,-0.02,0.13,4.59,1,0,1,4,0,4,5,0,5,10,,0,1.099271537,0,0,0.04686497953,0.1874599181,0.8649466397
