HUC12,HUC12Name,HUC8,HUC8Name,HUC6,HUC6Name,HabitatConditionIndexWS2015,PHWAWatershedHealthIndexState2016),PHWAWatershedHealthIndexER2016,AquaticSpecies,AquaticAnimalSpecies, AquaticPlantSpecies,WetlandSpecies,WetlandAnimalSpecies,WetlandPlantSpecies,TerrestrialSpecies,TerrestrialAnimalSpecies,TerrestrialPlantSpecies,ReptileSpecies,total,ProtectedRareEcosystems,RareEcosysteminWS
1.407E+11,Sei Billikoon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.914915024,0.895824274,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,West Canyon Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.98,0.904785406,0.785903679,0,0,0,0,0,0,0,0,0,26,26,,0
1.407E+11,Face Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.934918043,0.814280826,0,0,0,0,0,0,0,0,0,24,24,,0
1.407E+11,Labyrinth Bay,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.914230868,0.807668926,0,0,0,0,0,0,0,0,0,24,24,,0
1.407E+11,Cummings Mesa-Colorado River,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,,0.904550469,0.882101976,0,0,0,0,0,0,0,0,0,21,21,,0
1.407E+11,Glen Canyon Dam-Lake Powell,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.5,0.523967441,0.445166247,0,0,0,0,0,0,0,0,0,21,21,,0
1.407E+11,Circular White Ridge,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.930871107,0.919720174,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Ferry Swale Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.925015626,0.854843717,0,0,0,0,0,0,1,0,1,23,24,,0
1.407E+11,Water Holes Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.946360504,0.864432351,0,0,0,1,0,1,1,0,1,23,25,,0
1.407E+11,Fall Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.98,0.932104679,0.923104548,0,0,0,0,0,0,0,0,0,24,24,,0
1.407E+11,Honey Draw-Colorado River,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.88,0.722156892,0.685934935,1,1,0,4,3,1,3,1,2,23,31,,0
1.407E+11,Corral Valley,14070007,Paria,140700,Upper Colorado-Dirty Devil,4.51,0.846772303,0.732034541,0,0,0,0,0,0,2,0,2,20,22,,0
1.407E+11,Upper Coyote Wash,14070007,Paria,140700,Upper Colorado-Dirty Devil,4.88,0.907627962,0.847238151,0,0,0,0,0,0,3,0,3,23,26,,0
1.407E+11,Lower Coyote Wash,14070007,Paria,140700,Upper Colorado-Dirty Devil,4.96,0.897981592,0.822527184,0,0,0,0,0,0,3,0,3,24,27,,0
1.407E+11,White Pocket,14070007,Paria,140700,Upper Colorado-Dirty Devil,5,0.955073429,0.961331625,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Cottonwood Cove-Buckskin Gulch,14070007,Paria,140700,Upper Colorado-Dirty Devil,5,0.956302552,0.964588041,0,0,0,1,1,0,3,1,2,24,28,,0
1.407E+11,West Clark Bench-Paria River,14070007,Paria,140700,Upper Colorado-Dirty Devil,5,0.854804793,0.845713761,0,0,0,0,0,0,1,0,1,25,26,,0
1.407E+11,Pinnacle Valley,14070007,Paria,140700,Upper Colorado-Dirty Devil,5,0.951978175,0.964592111,0,0,0,0,0,0,1,0,1,20,21,,0
1.407E+11,Kid Pen Valley,14070007,Paria,140700,Upper Colorado-Dirty Devil,5,0.958503932,0.967841037,0,0,0,0,0,0,2,0,2,23,25,,0
1.407E+11,Judd Hollow-Paria River,14070007,Paria,140700,Upper Colorado-Dirty Devil,4.96,0.756380066,0.828584466,0,0,0,0,0,0,3,0,3,23,26,,0
1.407E+11,Shed Valley,14070007,Paria,140700,Upper Colorado-Dirty Devil,5,0.956266597,0.965419562,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Little Valley-Paria River,14070007,Paria,140700,Upper Colorado-Dirty Devil,4.98,0.760104231,0.837080605,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Paria Canyon-Paria River,14070007,Paria,140700,Upper Colorado-Dirty Devil,4.99,0.725183921,0.785180212,1,1,0,2,2,0,3,1,2,22,28,,0
1.40801E+11,Standing Redrock Creek,14080105,Middle San Juan,140801,Upper San Juan,4.55,0.805102172,0.749505658,1,0,1,1,0,1,2,0,2,19,23,,0
1.40801E+11,Upper Red Wash,14080105,Middle San Juan,140801,Upper San Juan,4.59,0.828736114,0.755932219,0,0,0,0,0,0,1,0,1,19,20,,0
1.40801E+11,Cove Wash,14080105,Middle San Juan,140801,Upper San Juan,4.77,0.870704471,0.870142857,0,0,0,1,1,0,2,1,1,20,23,,0
1.40801E+11,Blackhorse Creek,14080105,Middle San Juan,140801,Upper San Juan,4.85,0.876046796,0.874866727,1,0,1,0,0,0,1,0,1,20,22,,0
1.40801E+11,Horse Mesa Wash,14080105,Middle San Juan,140801,Upper San Juan,4.69,0.844795484,0.844111529,0,0,0,0,0,0,0,0,0,19,19,,0
1.40801E+11,Blackrock Wash,14080105,Middle San Juan,140801,Upper San Juan,4.58,0.814059458,0.806666222,0,0,0,0,0,0,0,0,0,19,19,,0
1.40801E+11,Middle Red Wash,14080105,Middle San Juan,140801,Upper San Juan,4.74,0.881851364,0.862201087,0,0,0,0,0,0,0,0,0,20,20,,0
1.40801E+11,Cottonwood Wash,14080105,Middle San Juan,140801,Upper San Juan,4.6,0.820411037,0.819127611,0,0,0,0,0,0,0,0,0,20,20,,0
1.40801E+11,First Gray Wash,14080105,Middle San Juan,140801,Upper San Juan,4.97,0.906322196,0.903187873,1,0,1,1,0,1,2,0,2,20,24,,0
1.40801E+11,Lower Red Wash,14080105,Middle San Juan,140801,Upper San Juan,4.76,0.844908575,0.843409693,0,0,0,0,0,0,2,0,2,20,22,0,0.029721216
1.40801E+11,Beclabito Wash,14080105,Middle San Juan,140801,Upper San Juan,4.97,0.89204479,0.88764872,0,0,0,0,0,0,0,0,0,20,20,0,0.036387998
1.40801E+11,Shoe Game Wash,14080105,Middle San Juan,140801,Upper San Juan,5,0.924285717,0.916482845,0,0,0,0,0,0,0,0,0,21,21,0,0.032798445
1.40801E+11,Salt Wash-San Juan River,14080105,Middle San Juan,140801,Upper San Juan,5,0.920395809,0.886726156,0,0,0,0,0,0,0,0,0,21,21,0,0.006626099
1.40801E+11,Upper Sanostee Wash,14080106,Chaco,140801,Upper San Juan,4.48,0.769903893,0.764045937,0,0,0,1,1,0,2,1,1,18,21,,0
1.40802E+11,Toh Atin Mesa,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,5,0.943266057,0.863482706,0,0,0,0,0,0,0,0,0,19,19,0,0.01364304
1.40802E+11,Upper Tsitah Wash,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.99,0.912490172,0.879803552,0,0,0,1,1,0,1,1,0,20,22,0,0.008001461
1.40802E+11,Middle Tsitah Wash,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.9,0.931528917,0.932931033,0,0,0,0,0,0,0,0,0,19,19,,0
1.40802E+11,Lower Tsitah Wash,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.71,0.877373189,0.837153617,0,0,0,0,0,0,0,0,0,21,21,,0
1.40802E+11,Teec Nos Pas Wash,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.89,0.886194625,0.870775663,1,0,1,1,0,1,1,0,1,20,23,0,0.004306483
1.40802E+11,Toh Dahstini Wash,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.99,0.931485907,0.889450212,1,0,1,1,0,1,1,0,1,20,23,0,0.022844782
1.40802E+11,Tohache Wash-Lower San Juan River,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.97,0.903680916,0.853975243,1,1,0,0,0,0,1,0,1,20,22,0,0.001498915
1.40802E+11,Yellow Rock Point-Lower San Juan River,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,5,0.880840883,0.874768407,1,1,0,0,0,0,1,0,1,20,22,,0
1.40802E+11,Upper Gothic Creek,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.99,0.92450588,0.851141502,0,0,0,0,0,0,0,0,0,19,19,0,0.01168726
1.40802E+11,Salt Spring,14080201,Lower San Juan-Four Corners,140802,Lower San Juan,4.5,0.789742795,0.729689829,0,0,0,0,0,0,0,0,0,19,19,0,0.023782906
1.40802E+11,Prarie Dog Valley,14080204,Chinle,140802,Lower San Juan,4.53,0.740246403,0.660456766,0,0,0,0,0,0,0,0,0,15,15,,0
1.40802E+11,Upper Wheatfields Creek,14080204,Chinle,140802,Lower San Juan,4.46,0.724699151,0.638607099,0,0,0,1,1,0,3,1,2,15,19,,0
1.40802E+11,Lower Wheatfields Creek,14080204,Chinle,140802,Lower San Juan,4.57,0.741434316,0.670918156,0,0,0,1,1,0,1,1,0,16,18,,0
1.40802E+11,Star Peak Springs,14080204,Chinle,140802,Lower San Juan,4.75,0.835552955,0.844869687,0,0,0,0,0,0,0,0,0,15,15,,0
1.40802E+11,Cattail Wash,14080204,Chinle,140802,Lower San Juan,4.62,0.82198748,0.757903179,0,0,0,0,0,0,0,0,0,15,15,,0
1.40802E+11,Crystal Wash,14080204,Chinle,140802,Lower San Juan,4.56,0.772496636,0.701070382,0,0,0,1,1,0,3,1,2,15,19,,0
1.40802E+11,Coyote Wash,14080204,Chinle,140802,Lower San Juan,4.61,0.829625004,0.755728047,0,0,0,0,0,0,0,0,0,15,15,,0
1.40802E+11,Whiskey Creek (Local Drainage),14080204,Chinle,140802,Lower San Juan,4.65,0.826942124,0.712884895,1,0,1,2,1,1,4,1,3,16,23,,0
1.40802E+11,1.40802E+11,14080204,Chinle,140802,Lower San Juan,5,0.927196235,0.880439041,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Upper Pine Springs Wash,14080204,Chinle,140802,Lower San Juan,4.73,0.888735582,0.838848865,0,0,0,0,0,0,0,0,0,18,18,0,0.003367637
1.40802E+11,Bi Keesh Wash,14080204,Chinle,140802,Lower San Juan,4.85,0.886192087,0.840816444,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Lower Pine Springs Wash,14080204,Chinle,140802,Lower San Juan,5,0.944477717,0.883185681,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Tsaile Creek-Tsaile Lake,14080204,Chinle,140802,Lower San Juan,4.39,0.692959618,0.638106911,0,0,0,1,1,0,1,1,0,17,19,,0
1.40802E+11,Black Rock Canyon,14080204,Chinle,140802,Lower San Juan,4.96,0.902547157,0.820980313,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Canyon del Muerto (Local Drainage),14080204,Chinle,140802,Lower San Juan,4.73,0.840057321,0.712983712,2,0,2,1,0,1,2,0,2,18,23,0,0.060256803
1.40802E+11,Upper Monument Canyon,14080204,Chinle,140802,Lower San Juan,4.6,0.83598299,0.834123979,0,0,0,1,1,0,1,1,0,16,18,,0
1.40802E+11,Bat Canyon,14080204,Chinle,140802,Lower San Juan,4.96,0.901769215,0.896591558,0,0,0,1,1,0,1,1,0,17,19,,0
1.40802E+11,Lower Monument Canyon,14080204,Chinle,140802,Lower San Juan,4.96,0.916795499,0.921578327,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Upper Canyon de Chelly,14080204,Chinle,140802,Lower San Juan,4.77,0.873068782,0.73202747,0,0,0,1,1,0,1,1,0,17,19,,0
1.40802E+11,Lower Canyon de Chelly,14080204,Chinle,140802,Lower San Juan,4.51,0.808704303,0.777124505,2,0,2,1,0,1,2,0,2,18,23,,0
1.40802E+11,Black Mountain Trading Post Area,14080204,Chinle,140802,Lower San Juan,4.99,0.911940788,0.852563487,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Upper Cottonwood Wash,14080204,Chinle,140802,Lower San Juan,4.62,0.832040972,0.747350293,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Upper Balakai Wash,14080204,Chinle,140802,Lower San Juan,4.97,0.935298241,0.895735563,0,0,0,0,0,0,0,0,0,18,18,0,0.014017688
1.40802E+11,Tse Ba Ni Zi Ni Wash,14080204,Chinle,140802,Lower San Juan,4.88,0.912695575,0.866573705,0,0,0,0,0,0,0,0,0,18,18,0,0.013449891
1.40802E+11,Lower Balakai Wash,14080204,Chinle,140802,Lower San Juan,4.2,0.769089657,0.713503396,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Middle Cottonwood Wash,14080204,Chinle,140802,Lower San Juan,4.55,0.85573434,0.833677847,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Lower Cottonwood Wash,14080204,Chinle,140802,Lower San Juan,4.65,0.877868092,0.832707193,0,0,0,0,0,0,0,0,0,17,17,0,2.334473314
1.40802E+11,Nazlini Canyon,14080204,Chinle,140802,Lower San Juan,4.78,0.882268592,0.775279405,0,0,0,0,0,0,0,0,0,16,16,,0
1.40802E+11,Tah aith cheed Wash,14080204,Chinle,140802,Lower San Juan,4.68,0.86586771,0.83771311,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Upper Bis Ii Ah Wash,14080204,Chinle,140802,Lower San Juan,4.88,0.921602037,0.910658554,0,0,0,0,0,0,0,0,0,18,18,0,0.018265762
1.40802E+11,Nazlini Creek,14080204,Chinle,140802,Lower San Juan,4.8,0.881395044,0.814555077,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Lower Bis Ii Ah Wash,14080204,Chinle,140802,Lower San Juan,4.78,0.909411385,0.865426366,0,0,0,0,0,0,0,0,0,18,18,0,0.015871112
1.40802E+11,Tse Deeshzhaai Wash,14080204,Chinle,140802,Lower San Juan,4.84,0.909011281,0.897119537,0,0,0,0,0,0,0,0,0,18,18,0,0.004893372
1.40802E+11,Tiis Ndiitsooi Wash,14080204,Chinle,140802,Lower San Juan,4.74,0.884579418,0.865135629,0,0,0,0,0,0,0,0,0,17,17,0,0.008845717
1.40802E+11,Nazlini Wash (Local Drainage),14080204,Chinle,140802,Lower San Juan,4.74,0.8642193,0.799645897,0,0,0,0,0,0,0,0,0,18,18,0,0.939140686
1.40802E+11,Slim Canyon-Chinle Wash,14080204,Chinle,140802,Lower San Juan,4.66,0.837669591,0.771828777,1,0,1,0,0,0,1,0,1,19,21,0,0.843402447
1.40802E+11,1.40802E+11,14080204,Chinle,140802,Lower San Juan,,0.91682671,0.834749315,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Hipbone Wash,14080204,Chinle,140802,Lower San Juan,4.94,0.88628736,0.869598274,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Upper Black Mountain Wash,14080204,Chinle,140802,Lower San Juan,4.98,0.926901013,0.922701921,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Ventana Mesa,14080204,Chinle,140802,Lower San Juan,3.2,0.664855959,0.654528742,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Tezinie Wash,14080204,Chinle,140802,Lower San Juan,4.97,0.921262416,0.848757432,0,0,0,0,0,0,0,0,0,19,19,,0
1.40802E+11,Sheep Dip Creek,14080204,Chinle,140802,Lower San Juan,4.93,0.918906172,0.856389516,0,0,0,0,0,0,0,0,0,19,19,,0
1.40802E+11,Lower Black Mountain Wash,14080204,Chinle,140802,Lower San Juan,4.88,0.926010837,0.916378185,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Chinle Wash-Many Farms Lake,14080204,Chinle,140802,Lower San Juan,4.88,0.825295452,0.770423571,0,0,0,0,0,0,0,0,0,18,18,0,0.137513795
1.40802E+11,Yellowstone Canyon,14080204,Chinle,140802,Lower San Juan,5,0.935753985,0.927745414,0,0,0,0,0,0,0,0,0,19,19,,0
1.40802E+11,Tsedatoh Canyon,14080204,Chinle,140802,Lower San Juan,5,0.932305238,0.923560331,0,0,0,1,1,0,2,1,1,19,22,,0
1.40802E+11,Bihilinie Canyon,14080204,Chinle,140802,Lower San Juan,4.97,0.925654047,0.912445236,0,0,0,0,0,0,0,0,0,19,19,,0
1.40802E+11,Upper Agua Sal Creek,14080204,Chinle,140802,Lower San Juan,4.91,0.886701323,0.862166609,0,0,0,1,1,0,1,1,0,19,21,,0
1.40802E+11,Lower Agua Sal Creek,14080204,Chinle,140802,Lower San Juan,4.78,0.893636475,0.828924756,0,0,0,0,0,0,0,0,0,20,20,0,0.090803928
1.40802E+11,Tohotoso Creek,14080204,Chinle,140802,Lower San Juan,4.53,0.783226741,0.758543155,0,0,0,1,1,0,1,1,0,18,20,,0
1.40802E+11,Greasewood Wash,14080204,Chinle,140802,Lower San Juan,4.91,0.890093145,0.867469999,0,0,0,1,1,0,3,1,2,18,22,0,0.012643204
1.40802E+11,Town of Lukachukai-Lukachukai Creek,14080204,Chinle,140802,Lower San Juan,4.56,0.78687651,0.710853038,0,0,0,1,1,0,1,1,0,18,20,,0
1.40802E+11,Cool Water Spring-Lukachukai Creek,14080204,Chinle,140802,Lower San Juan,4.93,0.899724091,0.883486061,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Band Valley,14080204,Chinle,140802,Lower San Juan,5,0.917518911,0.874265256,0,0,0,0,0,0,1,0,1,19,20,,0
1.40802E+11,Red Wash,14080204,Chinle,140802,Lower San Juan,4.9,0.916609344,0.903514523,0,0,0,0,0,0,1,0,1,19,20,0,0.27742105
1.40802E+11,Round Rock Lake-Lukachukai Creek,14080204,Chinle,140802,Lower San Juan,4.93,0.841758202,0.794687258,0,0,0,0,0,0,0,0,0,19,19,0,0.020169958
1.40802E+11,Tohatchi Spring,14080204,Chinle,140802,Lower San Juan,4.95,0.897515642,0.884249484,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Upper Hasbidito Creek,14080204,Chinle,140802,Lower San Juan,5,0.911878692,0.900761371,2,0,2,1,0,1,2,0,2,19,24,,0
1.40802E+11,White Area Canyon,14080204,Chinle,140802,Lower San Juan,4.99,0.937222551,0.929742793,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Lower Hasbidito Creek,14080204,Chinle,140802,Lower San Juan,4.75,0.882239191,0.826862505,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Flowing Well-Lukachukai Creek,14080204,Chinle,140802,Lower San Juan,4.71,0.889462832,0.872460177,0,0,0,0,0,0,0,0,0,18,18,0,0.033755273
1.40802E+11,Upper Windy Valley,14080204,Chinle,140802,Lower San Juan,4.9,0.904211143,0.856165196,0,0,0,0,0,0,0,0,0,19,19,0,0.013307043
1.40802E+11,Red Water Wash,14080204,Chinle,140802,Lower San Juan,4.93,0.941332305,0.891117367,0,0,0,0,0,0,0,0,0,19,19,0,0.094275698
1.40802E+11,Lower Windy Valley,14080204,Chinle,140802,Lower San Juan,4.93,0.888838127,0.797485081,0,0,0,0,0,0,0,0,0,19,19,,0
1.40802E+11,White Water Wash-Chinle Wash,14080204,Chinle,140802,Lower San Juan,4.97,0.910955005,0.835109848,0,0,0,0,0,0,0,0,0,19,19,0,0.527852734
1.40802E+11,Chinle Valley-Chinle Wash,14080204,Chinle,140802,Lower San Juan,4.99,0.958784205,0.892882745,1,0,1,0,0,0,1,0,1,19,21,0,0.059534372
1.40802E+11,Mesa Trail Wash,14080204,Chinle,140802,Lower San Juan,4.89,0.897763396,0.885063094,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Long Flat Wash,14080204,Chinle,140802,Lower San Juan,4.82,0.893363203,0.849483363,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Small White Mesa Flat,14080204,Chinle,140802,Lower San Juan,5,0.922396903,0.870618196,0,0,0,0,0,0,0,0,0,17,17,,0
1.40802E+11,Upper Tyende Creek,14080204,Chinle,140802,Lower San Juan,4.93,0.904958564,0.860229265,0,0,0,1,1,0,1,1,0,17,19,0,0.003576711
1.40802E+11,1.40802E+11,14080204,Chinle,140802,Lower San Juan,5,0.930096094,0.919263729,0,0,0,0,0,0,0,0,0,18,18,0,0.006463062
1.40802E+11,Upper Burro Wash,14080204,Chinle,140802,Lower San Juan,4.83,0.89165228,0.87279112,0,0,0,0,0,0,0,0,0,18,18,0,0.200254064
1.40802E+11,Sweetwater Mesa,14080204,Chinle,140802,Lower San Juan,4.79,0.905166451,0.864280029,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Tall Mesa,14080204,Chinle,140802,Lower San Juan,5,0.946158617,0.939280014,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Lower Burro Wash,14080204,Chinle,140802,Lower San Juan,4.9,0.933267693,0.888665011,0,0,0,0,0,0,0,0,0,18,18,0,0.009719166
1.40802E+11,Middle Tyende Creek,14080204,Chinle,140802,Lower San Juan,4.84,0.9274353,0.917340032,0,0,0,0,0,0,0,0,0,18,18,0,0.019621265
1.40802E+11,Lower Tyende Creek,14080204,Chinle,140802,Lower San Juan,4.93,0.923586264,0.928673313,0,0,0,0,0,0,0,0,0,18,18,,0
1.40802E+11,Dowozhiebito Canyon,14080204,Chinle,140802,Lower San Juan,4.75,0.865233624,0.818927003,2,0,2,2,1,1,4,1,3,17,25,,0
1.40802E+11,Long Canyon,14080204,Chinle,140802,Lower San Juan,4.83,0.889545966,0.862961892,3,0,3,3,1,2,4,1,3,16,26,,0
